# Date	Open	High	Low	Close	Volume	MA200	MA50	EMA26	EMA13	FastMACD	SlowMACD	MACDHistogram	ImpulseIndex	CloseSlope	CloseMin14	CloseMax14	FastStochasticK	FastStochasticD	SlowStochasticK	SlowStochasticD
2013-04-09	26.044922	26.250000	25.898438	21.062599	791900	18.3242	21.8516	21.1835	20.9507	-0.251658	-0.257783	0.0061257	1	0.354856	20.431744	21.433222	62.9924	39.6228	39.6228	20.6448
2013-04-10	27.011719	27.382813	26.992188	22.064075	2782100	18.3585	21.8288	21.2488	21.1098	-0.142699	-0.234766	0.0920679	1	1.00148	20.431744	22.064075	100	69.8483	69.8483	40.3914
2013-04-11	27.509766	27.783203	27.382813	22.142933	1905800	18.3962	21.8078	21.315	21.2574	-0.0494148	-0.197696	0.148281	1	0.078858	20.431744	22.142933	100	91.4701	91.4701	69.2202
2013-04-12	27.363281	27.519531	27.109375	22.206017	1035700	18.4333	21.7934	21.381	21.3929	0.0292662	-0.152304	0.18157	1	0.063084	20.431744	22.206017	100	100	100	88.802
2013-04-15	27.685547	27.705078	26.962891	21.780193	1856600	18.471	21.7632	21.4106	21.4482	0.0566085	-0.110521	0.16713	0	-0.425824	20.431744	22.206017	76.0001	91.9041	91.9041	94.5903
2013-04-16	27.851563	28.144531	27.412109	22.718584	3217600	18.5145	21.7403	21.5075	21.6297	0.152243	-0.0579684	0.210211	1	0.938391	20.431744	22.718584	100	92.7027	92.7027	94.7471
2013-04-17	27.539063	27.548828	26.621094	21.724995	3100400	18.5529	21.7239	21.5236	21.6433	0.146174	-0.0171399	0.163314	0	-0.993589	20.431744	22.718584	56.5519	77.6398	77.6398	86.9802
2013-04-18	26.464844	26.591797	25.957031	21.291283	2411500	18.5908	21.6871	21.5064	21.593	0.105156	0.00731928	0.0978366	-1	-0.433712	20.431744	22.718584	37.5863	64.7127	64.7127	77.5984
2013-04-19	26.777344	26.933594	26.650391	21.693451	1879700	18.6272	21.655	21.5202	21.6074	0.103902	0.0266359	0.0772665	0	0.402168	20.431744	22.718584	55.1725	49.7702	49.7702	63.6936
2013-04-22	27.255859	27.675781	26.923828	22.245445	2162100	18.6658	21.6526	21.5739	21.6985	0.14577	0.0504627	0.0953072	1	0.551994	20.431744	22.718584	79.3104	57.3564	57.3564	57.2798
2013-04-23	27.656250	27.734375	27.216797	22.182360	2209100	18.7036	21.6373	21.619	21.7676	0.171879	0.0747459	0.0971327	1	-0.063085	20.431744	22.718584	76.5517	70.3449	70.3449	59.1572
2013-04-24	27.617188	27.763672	27.519531	22.347961	1248000	18.7437	21.6258	21.673	21.8505	0.203586	0.100514	0.103072	1	0.165601	20.707743	22.718584	81.5688	79.042	79.042	68.7768
2013-04-25	27.480469	27.880859	27.421875	22.355848	1429200	18.7852	21.6097	21.7236	21.9227	0.226736	0.125758	0.100978	0	0.007887	20.707743	22.718584	81.961	79.8751	79.8751	76.2875
2013-04-26	27.724609	27.851563	27.626953	22.411045	826900	18.8275	21.5958	21.7745	21.9925	0.246694	0.149945	0.0967484	0	0.055197	21.062599	22.718584	81.4286	81.6668	81.6668	80.1275
2013-04-29	28.017578	28.291016	27.656250	22.592417	1880000	18.8718	21.5881	21.8351	22.0782	0.273987	0.174754	0.0992333	1	0.181372	21.291283	22.718584	91.1604	84.3655	84.3655	81.8099
2013-04-30	27.792969	28.134766	27.607422	22.694929	2736100	18.9158	21.5872	21.8988	22.1663	0.300426	0.199888	0.100538	1	0.102512	21.291283	22.718584	98.3427	89.8603	89.8603	84.9847
2013-05-01	27.940001	28.190001	27.610001	22.452194	1006900	18.96	21.5747	21.9398	22.2071	0.298353	0.219581	0.0787718	0	-0.242735	21.291283	22.718584	81.3361	90.2797	90.2797	87.9739
2013-05-02	28.100000	28.330000	28.000000	22.889891	1472500	19.0057	21.5748	22.0102	22.3047	0.328245	0.241314	0.0869309	1	0.437697	21.291283	22.889891	100	93.4868	93.4868	91.2151
2013-05-03	28.850000	29.020000	28.450001	23.149265	1087800	19.0527	21.5954	22.0945	22.4253	0.368614	0.266774	0.10184	1	0.259374	21.291283	23.149265	100	94.5455	94.5455	92.8582
2013-05-06	28.799999	28.900000	28.639999	23.327587	744800	19.0998	21.615	22.1859	22.5542	0.410267	0.295473	0.114795	1	0.178322	21.291283	23.327587	100	100	100	96.2479
2013-05-07	29.459999	29.620001	29.180000	23.903076	1390200	19.1471	21.6701	22.3131	22.7469	0.484134	0.333205	0.150929	1	0.575489	21.291283	23.903076	100	100	100	98.4221
